"TIME","Temp.C"
2021-06-17 00:55:00,22.44
2021-06-17 01:55:00,22.32
2021-06-17 02:55:00,22.19
2021-06-17 03:55:00,21.99
2021-06-17 04:55:00,21.96
2021-06-17 05:55:00,21.84
2021-06-17 06:55:00,21.96
2021-06-17 07:55:00,22.2
2021-06-17 08:55:00,22.57
2021-06-17 09:55:00,23.04
2021-06-17 10:55:00,23.52
2021-06-17 11:55:00,24.01
2021-06-17 12:55:00,24.38
2021-06-17 13:55:00,24.73
2021-06-17 14:55:00,24.87
2021-06-17 15:55:00,24.86
2021-06-17 16:55:00,24.74
2021-06-17 17:55:00,24.49
2021-06-17 18:55:00,24.13
2021-06-17 19:55:00,23.77
2021-06-17 20:55:00,23.41
2021-06-17 21:55:00,23.05
2021-06-17 22:55:00,22.81
2021-06-18 00:53:00,22.44
2021-06-18 01:53:00,22.21
2021-06-18 02:53:00,22.08
2021-06-18 03:53:00,21.96
2021-06-18 04:53:00,21.84
2021-06-18 05:53:00,21.84
2021-06-18 06:53:00,21.84
2021-06-18 07:53:00,21.93
2021-06-18 08:53:00,22.08
2021-06-18 09:53:00,22.56
2021-06-18 10:53:00,23.04
2021-06-18 11:53:00,23.53
2021-06-18 12:53:00,24.01
2021-06-18 13:53:00,24.27
2021-06-18 14:53:00,24.49
2021-06-18 15:53:00,24.61
2021-06-18 16:53:00,24.48
2021-06-18 17:53:00,24.36
2021-06-18 18:53:00,24.01
2021-06-18 19:53:00,23.65
2021-06-18 20:53:00,23.29
2021-06-18 21:53:00,22.93
2021-06-18 22:53:00,22.69
2021-06-18 23:53:00,22.44
2021-06-19 00:53:00,22.23
2021-06-19 01:53:00,22.08
2021-06-19 02:53:00,21.96
2021-06-19 03:53:00,21.84
2021-06-19 04:53:00,21.72
2021-06-19 05:53:00,21.72
2021-06-19 06:53:00,21.72
2021-06-19 07:53:00,21.72
2021-06-19 08:53:00,21.95
2021-06-19 09:53:00,22.21
2021-06-19 10:53:00,22.69
2021-06-19 11:53:00,23.04
2021-06-19 12:53:00,23.42
2021-06-19 13:53:00,23.88
2021-06-19 14:53:00,24.13
2021-06-19 15:53:00,24.25
2021-06-19 16:53:00,24.13
2021-06-19 17:53:00,23.9
2021-06-19 18:53:00,23.65
2021-06-19 19:53:00,23.29
2021-06-19 20:53:00,23.04
2021-06-19 21:53:00,22.81
2021-06-19 22:53:00,22.57
2021-06-19 23:53:00,22.37
2021-06-20 00:53:00,22.2
2021-06-20 01:53:00,22.08
2021-06-20 02:53:00,21.84
2021-06-20 03:53:00,21.71
2021-06-20 04:53:00,21.6
2021-06-20 05:53:00,21.47
2021-06-20 06:53:00,21.59
2021-06-20 07:53:00,21.71
2021-06-20 08:53:00,21.83
2021-06-20 09:53:00,21.96
2021-06-20 10:53:00,22.32
2021-06-20 11:53:00,22.68
2021-06-20 12:53:00,22.93
2021-06-20 13:53:00,23.16
2021-06-20 14:53:00,23.41
2021-06-20 15:53:00,23.41
2021-06-20 16:53:00,23.41
2021-06-20 17:53:00,23.17
2021-06-20 18:53:00,23.04
2021-06-20 19:53:00,22.8
2021-06-20 20:53:00,22.46
2021-06-20 21:53:00,22.24
2021-06-20 22:53:00,22.08
2021-06-20 23:53:00,21.96
2021-06-21 00:53:00,21.84
2021-06-21 01:53:00,21.72
2021-06-21 02:53:00,21.67
2021-06-21 03:53:00,21.6
2021-06-21 04:53:00,21.55
2021-06-21 05:53:00,21.48
2021-06-21 06:53:00,21.6
2021-06-21 07:53:00,21.96
2021-06-21 08:53:00,22.2
2021-06-21 09:53:00,22.69
2021-06-21 10:53:00,23.05
2021-06-21 11:53:00,23.53
2021-06-21 12:53:00,23.53
2021-06-21 13:53:00,23.77
2021-06-21 14:53:00,24.01
2021-06-21 15:53:00,24.13
2021-06-21 16:53:00,24.14
2021-06-21 17:53:00,24.01
2021-06-21 18:53:00,23.77
2021-06-21 19:53:00,23.53
2021-06-21 20:53:00,23.29
2021-06-21 21:53:00,23.05
2021-06-21 22:53:00,22.92
2021-06-21 23:53:00,22.68
2021-06-22 00:53:00,22.56
2021-06-22 01:53:00,22.44
2021-06-22 02:53:00,22.31
2021-06-22 03:53:00,22.2
2021-06-22 04:53:00,22.08
2021-06-22 05:53:00,22.08
2021-06-22 06:53:00,22.08
2021-06-22 07:53:00,22.32
2021-06-22 08:53:00,22.56
2021-06-22 09:53:00,23.05
2021-06-22 10:53:00,23.65
2021-06-22 11:53:00,24.13
2021-06-22 12:53:00,24.61
2021-06-22 13:53:00,25.01
2021-06-22 14:53:00,25.33
2021-06-22 15:53:00,25.45
2021-06-22 16:53:00,25.28
2021-06-22 17:53:00,24.97
2021-06-22 18:53:00,24.61
2021-06-22 19:53:00,24.13
2021-06-22 20:53:00,23.77
2021-06-22 21:53:00,23.41
2021-06-22 22:53:00,23.1
2021-06-22 23:53:00,22.81
2021-06-23 00:53:00,22.57
2021-06-23 01:53:00,22.44
2021-06-23 02:53:00,22.2
2021-06-23 03:53:00,21.96
2021-06-23 04:53:00,21.84
2021-06-23 05:53:00,21.72
2021-06-23 06:53:00,21.72
2021-06-23 09:18:00,22.32
2021-06-23 10:18:00,22.81
2021-06-23 11:18:00,23.41
2021-06-23 12:18:00,23.89
2021-06-23 13:18:00,24.37
2021-06-23 14:18:00,24.49
2021-06-23 15:18:00,24.49
2021-06-23 16:18:00,24.5
2021-06-23 17:18:00,24.35
2021-06-23 18:18:00,24.02
2021-06-23 19:18:00,23.77
2021-06-23 20:18:00,23.42
2021-06-23 21:18:00,23.17
2021-06-23 22:18:00,22.93
2021-06-23 23:18:00,22.8
2021-06-24 00:18:00,22.57
2021-06-24 01:18:00,22.4
2021-06-24 02:18:00,22.21
2021-06-24 03:18:00,22.08
2021-06-24 04:18:00,21.96
2021-06-24 05:18:00,21.84
2021-06-24 06:18:00,21.84
2021-06-24 07:18:00,22.08
2021-06-24 08:18:00,22.36
2021-06-24 09:18:00,22.81
2021-06-24 10:18:00,22.93
2021-06-24 11:18:00,23.28
2021-06-24 12:18:00,23.77
2021-06-24 13:18:00,24.25
2021-06-24 14:18:00,24.61
2021-06-24 15:18:00,24.81
2021-06-24 16:18:00,24.63
2021-06-24 17:18:00,24.49
2021-06-24 18:18:00,24.13
2021-06-24 19:18:00,23.79
2021-06-24 20:18:00,23.44
2021-06-24 21:18:00,23.16
2021-06-24 22:18:00,22.82
2021-06-24 23:18:00,22.56
2021-06-25 00:18:00,22.29
2021-06-25 01:18:00,22.01
2021-06-25 02:18:00,21.84
2021-06-25 03:18:00,21.6
2021-06-25 04:18:00,21.48
2021-06-25 05:18:00,21.35
2021-06-25 06:18:00,21.29
2021-06-25 07:18:00,21.39
2021-06-25 08:18:00,21.72
2021-06-25 09:18:00,22.2
2021-06-25 10:18:00,22.8
2021-06-25 11:18:00,23.29
2021-06-25 12:18:00,23.79
2021-06-25 13:18:00,24.3
2021-06-25 14:18:00,24.62
2021-06-25 15:18:00,24.85
2021-06-25 16:18:00,24.85
2021-06-25 17:18:00,24.73
2021-06-25 18:18:00,24.37
2021-06-25 19:18:00,24.01
2021-06-25 20:18:00,23.63
2021-06-25 21:18:00,23.28
2021-06-25 22:18:00,22.93
2021-06-25 23:18:00,22.69
2021-06-26 00:18:00,22.44
2021-06-26 01:18:00,22.2
2021-06-26 02:18:00,21.98
2021-06-26 03:18:00,21.84
2021-06-26 04:18:00,21.68
2021-06-26 05:18:00,21.49
2021-06-26 06:18:00,21.48
2021-06-26 07:18:00,21.62
2021-06-26 08:18:00,21.96
2021-06-26 09:18:00,22.33
2021-06-26 10:18:00,22.83
2021-06-26 11:18:00,23.41
2021-06-26 12:18:00,23.89
2021-06-26 13:18:00,24.35
2021-06-26 14:18:00,24.62
2021-06-26 15:18:00,24.85
2021-06-26 16:18:00,24.73
2021-06-26 17:18:00,24.5
2021-06-26 18:18:00,24.13
2021-06-26 19:18:00,23.77
2021-06-26 20:18:00,23.41
2021-06-26 21:18:00,23.05
2021-06-26 22:18:00,22.81
2021-06-26 23:18:00,22.57
2021-06-27 00:18:00,22.34
2021-06-27 01:18:00,22.2
2021-06-27 02:18:00,21.96
2021-06-27 03:18:00,21.75
2021-06-27 04:18:00,21.6
2021-06-27 05:18:00,21.47
2021-06-27 06:18:00,21.47
2021-06-27 07:18:00,21.6
2021-06-27 08:18:00,21.96
2021-06-27 09:18:00,22.44
2021-06-27 10:18:00,22.93
2021-06-27 11:18:00,23.53
2021-06-27 12:18:00,24.01
2021-06-27 13:18:00,24.49
2021-06-27 14:18:00,24.85
2021-06-27 15:18:00,24.98
2021-06-27 16:18:00,24.97
2021-06-27 17:18:00,24.73
2021-06-27 18:18:00,24.36
2021-06-27 19:18:00,24.01
2021-06-27 20:18:00,23.6
2021-06-27 21:18:00,23.17
2021-06-27 22:18:00,22.81
2021-06-27 23:18:00,22.56
2021-06-28 00:18:00,22.21
2021-06-28 01:18:00,22.08
2021-06-28 02:18:00,21.84
2021-06-28 03:18:00,21.72
2021-06-28 04:18:00,21.6
2021-06-28 05:18:00,21.48
2021-06-28 06:18:00,21.47
2021-06-28 07:18:00,21.6
2021-06-28 08:18:00,21.96
2021-06-28 09:18:00,22.33
2021-06-28 10:18:00,22.89
2021-06-28 11:18:00,23.41
2021-06-28 12:18:00,23.89
2021-06-28 13:18:00,24.37
2021-06-28 14:18:00,24.59
2021-06-28 15:18:00,24.74
2021-06-28 16:18:00,24.68
2021-06-28 17:18:00,24.49
2021-06-28 18:18:00,24.25
2021-06-28 19:18:00,23.9
2021-06-28 20:18:00,23.56
2021-06-28 21:18:00,23.29
2021-06-28 22:18:00,22.96
2021-06-28 23:18:00,22.69
2021-06-29 00:18:00,22.56
2021-06-29 01:18:00,22.32
2021-06-29 02:18:00,22.21
2021-06-29 03:18:00,22.11
2021-06-29 04:18:00,22.08
2021-06-29 05:18:00,21.97
2021-06-29 06:18:00,21.96
2021-06-29 07:18:00,22.19
2021-06-29 08:18:00,22.44
2021-06-29 09:18:00,22.8
2021-06-29 10:18:00,23.05
2021-06-29 11:18:00,23.53
2021-06-29 12:18:00,23.65
2021-06-29 13:18:00,24.13
2021-06-29 14:18:00,24.49
2021-06-29 15:18:00,24.85
2021-06-29 16:18:00,24.85
2021-06-29 17:18:00,24.73
2021-06-29 18:18:00,24.46
2021-06-29 19:18:00,24.13
2021-06-29 20:18:00,23.77
2021-06-29 21:18:00,23.5
2021-06-29 22:18:00,23.17
2021-06-29 23:18:00,22.93
2021-06-30 00:18:00,22.68
2021-06-30 01:18:00,22.45
2021-06-30 02:18:00,22.32
2021-06-30 03:18:00,22.08
2021-06-30 04:18:00,21.96
2021-06-30 05:18:00,21.84
2021-06-30 06:18:00,21.83
2021-06-30 07:18:00,21.96
2021-06-30 08:18:00,22.32
2021-06-30 09:18:00,22.76
2021-06-30 14:59:00,25.22
2021-06-30 15:59:00,25.22
2021-06-30 16:59:00,25.09
2021-06-30 17:59:00,24.74
2021-06-30 18:59:00,24.37
2021-06-30 19:59:00,24.01
2021-06-30 20:59:00,23.65
2021-06-30 21:59:00,23.06
2021-06-30 22:59:00,22.69
2021-06-30 23:59:00,22.44
2021-07-01 00:59:00,22.08
2021-07-01 01:59:00,21.84
2021-07-01 02:59:00,21.61
2021-07-01 03:59:00,21.47
2021-07-01 04:59:00,21.22
2021-07-01 05:59:00,21.12
2021-07-01 06:59:00,21.24
2021-07-01 07:59:00,21.47
2021-07-01 08:59:00,21.96
2021-07-01 09:59:00,22.56
2021-07-01 10:59:00,23.15
2021-07-01 11:59:00,23.65
2021-07-01 12:59:00,24.13
2021-07-01 13:59:00,24.29
2021-07-01 14:59:00,24.53
2021-07-01 15:59:00,24.61
2021-07-01 16:59:00,24.58
2021-07-01 17:59:00,24.25
2021-07-01 18:59:00,23.89
2021-07-01 19:59:00,23.48
2021-07-01 20:59:00,23.06
2021-07-01 21:59:00,22.8
2021-07-01 22:59:00,22.44
2021-07-01 23:59:00,22.19
2021-07-02 00:59:00,21.96
2021-07-02 01:59:00,21.71
2021-07-02 02:59:00,21.58
2021-07-02 03:59:00,21.35
2021-07-02 04:59:00,21.23
2021-07-02 05:59:00,21.11
2021-07-02 06:59:00,21.24
2021-07-02 07:59:00,21.6
2021-07-02 08:59:00,21.96
2021-07-02 09:59:00,22.47
2021-07-02 10:59:00,23.05
2021-07-02 11:59:00,23.64
2021-07-02 12:59:00,24.13
2021-07-02 13:59:00,24.49
2021-07-02 14:59:00,24.73
2021-07-02 15:59:00,24.62
2021-07-02 16:59:00,24.62
2021-07-02 17:59:00,24.37
2021-07-02 18:59:00,24
2021-07-02 19:59:00,23.54
2021-07-02 20:59:00,23.17
2021-07-02 21:59:00,22.85
2021-07-02 22:59:00,22.56
2021-07-02 23:59:00,22.32
2021-07-03 00:59:00,22.08
2021-07-03 01:59:00,21.84
2021-07-03 02:59:00,21.6
2021-07-03 03:59:00,21.48
2021-07-03 04:59:00,21.35
2021-07-03 05:59:00,21.24
2021-07-03 06:59:00,21.36
2021-07-03 07:59:00,21.6
2021-07-03 08:59:00,22.07
2021-07-03 09:59:00,22.57
2021-07-03 10:59:00,23.17
2021-07-03 11:59:00,23.65
2021-07-03 12:59:00,24.13
2021-07-03 13:59:00,24.5
2021-07-03 14:59:00,24.98
2021-07-03 15:59:00,24.84
2021-07-03 16:59:00,24.73
2021-07-03 17:59:00,24.34
2021-07-03 18:59:00,23.94
2021-07-03 19:59:00,23.55
2021-07-03 20:59:00,23.29
2021-07-03 21:59:00,22.96
2021-07-03 22:59:00,22.75
2021-07-03 23:59:00,22.56
2021-07-04 00:59:00,22.36
2021-07-04 01:59:00,22.21
2021-07-04 02:59:00,22.14
2021-07-04 03:59:00,22.08
2021-07-04 04:59:00,21.96
2021-07-04 05:59:00,21.85
2021-07-04 06:59:00,21.96
2021-07-04 07:59:00,22.23
2021-07-04 08:59:00,22.56
2021-07-04 09:59:00,23.04
2021-07-04 10:59:00,23.41
2021-07-04 11:59:00,23.55
2021-07-04 12:59:00,23.77
2021-07-04 13:59:00,24.01
2021-07-04 14:59:00,24.34
2021-07-04 15:59:00,24.55
2021-07-04 16:59:00,24.62
2021-07-04 17:59:00,24.36
2021-07-04 18:59:00,24.12
2021-07-04 19:59:00,23.77
2021-07-04 20:59:00,23.49
2021-07-04 21:59:00,23.26
2021-07-04 22:59:00,23.05
2021-07-04 23:59:00,22.81
2021-07-05 00:59:00,22.56
2021-07-05 01:59:00,22.34
2021-07-05 02:59:00,22.2
2021-07-05 03:59:00,21.96
2021-07-05 04:59:00,21.84
2021-07-05 05:59:00,21.72
2021-07-05 06:59:00,21.84
2021-07-05 07:59:00,22.12
2021-07-05 08:59:00,22.46
2021-07-05 09:59:00,23.05
2021-07-05 10:59:00,23.65
2021-07-05 11:59:00,24.13
2021-07-05 12:59:00,24.6
2021-07-05 13:59:00,24.86
2021-07-05 14:59:00,25.1
2021-07-05 15:59:00,25.12
2021-07-05 16:59:00,25.08
2021-07-05 17:59:00,24.62
2021-07-05 18:59:00,24.25
2021-07-05 19:59:00,23.89
2021-07-05 20:59:00,23.53
2021-07-05 21:59:00,23.16
2021-07-05 22:59:00,22.93
2021-07-05 23:59:00,22.65
2021-07-06 00:59:00,22.34
2021-07-06 01:59:00,22.2
2021-07-06 02:59:00,21.96
2021-07-06 03:59:00,21.84
2021-07-06 04:59:00,21.61
2021-07-06 05:59:00,21.55
2021-07-06 06:59:00,21.62
2021-07-06 07:59:00,21.96
2021-07-06 08:59:00,22.35
2021-07-06 09:59:00,22.93
2021-07-06 10:59:00,23.53
2021-07-06 11:59:00,24.02
2021-07-06 12:59:00,24.49
2021-07-06 13:59:00,24.86
2021-07-06 14:59:00,25.12
2021-07-06 15:59:00,25.1
2021-07-06 16:59:00,24.97
2021-07-06 17:59:00,24.62
2021-07-06 18:59:00,24.25
2021-07-06 19:59:00,23.89
2021-07-06 20:59:00,23.53
2021-07-06 21:59:00,23.17
2021-07-06 22:59:00,22.93
2021-07-06 23:59:00,22.69
2021-07-07 00:59:00,22.44
2021-07-07 01:59:00,22.32
2021-07-07 02:59:00,22.2
2021-07-07 03:59:00,22.08
2021-07-07 04:59:00,21.96
2021-07-07 05:59:00,21.84
2021-07-07 06:59:00,21.85
2021-07-07 07:59:00,22.2
2021-07-07 08:59:00,22.57
2021-07-07 09:59:00,23.17
2021-07-07 10:59:00,23.77
2021-07-07 11:59:00,24.28
2021-07-07 12:59:00,24.86
2021-07-07 13:59:00,25.21
2021-07-07 15:35:00,25.49
2021-07-07 16:35:00,25.44
2021-07-07 17:35:00,25.21
2021-07-07 18:35:00,24.85
2021-07-07 19:35:00,24.49
2021-07-07 20:35:00,24.13
2021-07-07 21:35:00,23.77
2021-07-07 22:35:00,23.41
2021-07-07 23:35:00,23.18
2021-07-08 00:35:00,23.05
2021-07-08 01:35:00,22.92
2021-07-08 02:35:00,22.69
2021-07-08 03:35:00,22.56
2021-07-08 04:35:00,22.45
2021-07-08 05:35:00,22.33
2021-07-08 06:35:00,22.32
2021-07-08 07:35:00,22.21
2021-07-08 08:35:00,22.24
2021-07-08 09:35:00,22.57
2021-07-08 10:35:00,23.05
2021-07-08 11:35:00,23.65
2021-07-08 12:35:00,24.25
2021-07-08 13:35:00,24.73
2021-07-08 14:35:00,24.97
2021-07-08 15:35:00,24.97
2021-07-08 16:35:00,24.86
2021-07-08 17:35:00,24.73
2021-07-08 18:35:00,24.49
2021-07-08 19:35:00,24.25
2021-07-08 20:35:00,24.01
2021-07-08 21:35:00,23.67
2021-07-08 22:35:00,23.52
2021-07-08 23:35:00,23.28
2021-07-09 00:35:00,23.05
2021-07-09 01:35:00,22.8
2021-07-09 02:35:00,22.44
2021-07-09 03:35:00,22.2
2021-07-09 04:35:00,21.96
2021-07-09 05:35:00,21.84
2021-07-09 06:35:00,21.74
2021-07-09 07:35:00,21.95
2021-07-09 08:35:00,22.29
2021-07-09 09:35:00,22.69
2021-07-09 10:35:00,23.17
2021-07-09 11:35:00,23.76
2021-07-09 12:35:00,24.25
2021-07-09 13:35:00,24.73
2021-07-09 14:35:00,24.97
2021-07-09 15:35:00,24.99
2021-07-09 16:35:00,24.86
2021-07-09 17:35:00,24.61
2021-07-09 18:35:00,24.15
2021-07-09 19:35:00,23.77
2021-07-09 20:35:00,23.41
2021-07-09 21:35:00,23.17
2021-07-09 22:35:00,22.81
2021-07-09 23:35:00,22.57
2021-07-10 00:35:00,22.32
2021-07-10 01:35:00,22.08
2021-07-10 02:35:00,21.84
2021-07-10 03:35:00,21.66
2021-07-10 04:35:00,21.47
2021-07-10 05:35:00,21.35
2021-07-10 06:35:00,21.24
2021-07-10 07:35:00,21.44
2021-07-10 08:35:00,21.71
2021-07-10 09:35:00,22.1
2021-07-10 10:35:00,22.69
2021-07-10 11:35:00,23.29
2021-07-10 12:35:00,23.89
2021-07-10 13:35:00,24.25
2021-07-10 14:35:00,24.59
2021-07-10 15:35:00,24.69
2021-07-10 16:35:00,24.61
2021-07-10 17:35:00,24.37
2021-07-10 18:35:00,24.02
2021-07-10 19:35:00,23.66
2021-07-10 20:35:00,23.29
2021-07-10 21:35:00,23.01
2021-07-10 22:35:00,22.68
2021-07-10 23:35:00,22.44
2021-07-11 00:35:00,22.2
2021-07-11 01:35:00,21.96
2021-07-11 02:35:00,21.72
2021-07-11 03:35:00,21.59
2021-07-11 04:35:00,21.37
2021-07-11 05:35:00,21.35
2021-07-11 06:35:00,21.35
2021-07-11 07:35:00,21.48
2021-07-11 08:35:00,21.84
2021-07-11 09:35:00,22.32
2021-07-11 10:35:00,22.89
2021-07-11 11:35:00,23.42
2021-07-11 12:35:00,23.97
2021-07-11 13:35:00,24.37
2021-07-11 14:35:00,24.73
2021-07-11 15:35:00,24.81
2021-07-11 16:35:00,24.73
2021-07-11 17:35:00,24.5
2021-07-11 18:35:00,24.18
2021-07-11 19:35:00,23.77
2021-07-11 20:35:00,23.42
2021-07-11 21:35:00,23.16
2021-07-11 22:35:00,22.82
2021-07-11 23:35:00,22.56
2021-07-12 00:35:00,22.22
2021-07-12 01:35:00,21.98
2021-07-12 02:35:00,21.77
2021-07-12 03:35:00,21.6
2021-07-12 04:35:00,21.48
2021-07-12 05:35:00,21.36
2021-07-12 06:35:00,21.35
2021-07-12 07:35:00,21.48
2021-07-12 08:35:00,21.71
2021-07-12 09:35:00,22.2
2021-07-12 10:35:00,22.81
2021-07-12 11:35:00,23.41
2021-07-12 12:35:00,24.01
2021-07-13 09:05:00,22.46
2021-07-13 10:05:00,22.69
2021-07-13 11:05:00,23.17
2021-07-13 12:05:00,23.65
2021-07-13 13:05:00,24.01
2021-07-13 14:05:00,24.26
2021-07-13 15:05:00,24.39
2021-07-13 16:05:00,24.5
2021-07-13 17:05:00,24.37
2021-07-13 18:05:00,24.13
2021-07-13 19:05:00,23.89
2021-07-13 20:05:00,23.53
2021-07-13 21:05:00,23.18
2021-07-13 22:05:00,22.81
2021-07-13 23:05:00,22.45
2021-07-14 00:05:00,22.17
2021-07-14 01:05:00,21.86
2021-07-14 02:05:00,21.72
2021-07-14 03:05:00,21.58
2021-07-14 04:05:00,21.39
2021-07-14 05:05:00,21.36
2021-07-14 06:05:00,21.25
2021-07-14 07:05:00,21.36
2021-07-14 08:05:00,21.71
2021-07-14 09:05:00,22.05
2021-07-14 10:05:00,22.49
2021-07-14 11:05:00,23.05
2021-07-14 12:05:00,23.53
2021-07-14 13:05:00,23.89
2021-07-14 14:05:00,24.22
2021-07-14 16:00:00,24.49
2021-07-14 17:00:00,24.37
2021-07-14 18:00:00,24.01
2021-07-14 19:00:00,23.65
2021-07-14 20:00:00,23.19
2021-07-14 21:00:00,22.92
2021-07-14 22:00:00,22.57
2021-07-14 23:00:00,22.28
2021-07-15 00:00:00,21.98
2021-07-15 01:00:00,21.75
2021-07-15 02:00:00,21.59
2021-07-15 03:00:00,21.47
2021-07-15 04:00:00,21.36
2021-07-15 05:00:00,21.23
2021-07-15 06:00:00,21.15
2021-07-15 07:00:00,21.24
2021-07-15 08:00:00,21.6
2021-07-15 09:00:00,21.97
2021-07-15 10:00:00,22.45
2021-07-15 11:00:00,22.97
2021-07-15 12:00:00,23.51
2021-07-15 13:00:00,24.01
2021-07-15 14:00:00,24.37
2021-07-15 15:00:00,24.5
2021-07-15 16:00:00,24.5
2021-07-15 17:00:00,24.37
2021-07-15 18:00:00,24.02
2021-07-15 19:00:00,23.67
2021-07-15 20:00:00,23.31
2021-07-15 21:00:00,23.02
2021-07-15 22:00:00,22.69
2021-07-15 23:00:00,22.45
2021-07-16 00:00:00,22.23
2021-07-16 01:00:00,22.08
2021-07-16 02:00:00,21.9
2021-07-16 03:00:00,21.72
2021-07-16 04:00:00,21.6
2021-07-16 05:00:00,21.48
2021-07-16 06:00:00,21.47
2021-07-16 07:00:00,21.54
2021-07-16 08:00:00,21.72
2021-07-16 09:00:00,21.96
2021-07-16 10:00:00,22.19
2021-07-16 11:00:00,22.2
