"DAY","Day_Period","CO2_ppm"
2020-07-01,"morning",NA
2020-07-01,"aftern.",NA
2020-07-02,"morning",11
2020-07-02,"aftern.",13
2020-07-03,"morning",13
2020-07-03,"aftern.",NA
2020-07-04,"morning",11
2020-07-04,"aftern.",NA
2020-07-05,"morning",NA
2020-07-05,"aftern.",NA
2020-07-06,"morning",12
2020-07-06,"aftern.",17
2020-07-07,"morning",15
2020-07-07,"aftern.",13
2020-07-08,"morning",16
2020-07-08,"aftern.",13
2020-07-09,"morning",13
2020-07-09,"aftern.",13
2020-07-10,"morning",11
2020-07-10,"aftern.",13
2020-07-11,"morning",11
2020-07-11,"aftern.",NA
2020-07-12,"morning",9
2020-07-12,"aftern.",NA
2020-07-13,"morning",13
2020-07-13,"aftern.",14
2020-07-14,"morning",14
2020-07-14,"aftern.",13
2020-07-15,"morning",13
2020-07-15,"aftern.",NA
2020-07-16,"morning",10
2020-07-16,"aftern.",10
2020-07-17,"morning",12
2020-07-17,"aftern.",14
2020-07-18,"morning",14
2020-07-18,"aftern.",NA
2020-07-19,"morning",8
2020-07-19,"aftern.",NA
2020-07-20,"morning",10
2020-07-20,"aftern.",NA
2020-07-21,"morning",8
2020-07-21,"aftern.",4
2020-07-22,"morning",8
2020-07-22,"aftern.",8
2020-07-23,"morning",NA
2020-07-23,"aftern.",9
2020-07-24,"morning",8
2020-07-24,"aftern.",NA
2020-07-25,"morning",6
2020-07-25,"aftern.",NA
2020-07-26,"morning",NA
2020-07-26,"aftern.",NA
2020-07-27,"morning",7
2020-07-27,"aftern.",9
2020-07-28,"morning",8
2020-07-28,"aftern.",7
2020-07-29,"morning",9
2020-07-29,"aftern.",9
2020-07-30,"morning",12
2020-07-30,"aftern.",12
2020-07-31,"morning",11
2020-07-31,"aftern.",8
2020-08-01,"morning",6
2020-08-01,"aftern.",NA
2020-08-02,"morning",NA
2020-08-02,"aftern.",NA
2020-08-03,"morning",8
2020-08-03,"aftern.",9
2020-08-04,"morning",9
2020-08-04,"aftern.",10
2020-08-05,"morning",9
2020-08-05,"aftern.",11
2020-08-06,"morning",12
2020-08-06,"aftern.",10
2020-08-07,"morning",10
2020-08-07,"aftern.",NA
2020-08-08,"morning",10
2020-08-08,"aftern.",NA
2020-08-09,"morning",NA
2020-08-09,"aftern.",NA
2020-08-10,"morning",11
2020-08-10,"aftern.",10
2020-08-11,"morning",10
2020-08-11,"aftern.",NA
2020-08-12,"morning",10
2020-08-12,"aftern.",NA
2020-08-13,"morning",9
2020-08-13,"aftern.",9
2020-08-14,"morning",11
2020-08-14,"aftern.",9
2020-08-15,"morning",10
2020-08-15,"aftern.",NA
2020-08-16,"morning",11
2020-08-16,"aftern.",NA
2020-08-17,"morning",10
2020-08-17,"aftern.",11
2020-08-18,"morning",12
2020-08-18,"aftern.",NA
2020-08-19,"morning",10
2020-08-19,"aftern.",9
2020-08-20,"morning",6
2020-08-20,"aftern.",11
2020-08-21,"morning",11
2020-08-21,"aftern.",NA
2020-08-22,"morning",NA
2020-08-22,"aftern.",NA
2020-08-23,"morning",12
2020-08-23,"aftern.",10
2020-08-24,"morning",13
2020-08-24,"aftern.",NA
2020-08-25,"morning",10
2020-08-25,"aftern.",12
2020-08-26,"morning",11
2020-08-26,"aftern.",NA
2020-08-27,"morning",12
2020-08-27,"aftern.",NA
2020-08-28,"morning",11
2020-08-28,"aftern.",NA
2020-08-29,"morning",13
2020-08-29,"aftern.",NA
2020-08-30,"morning",NA
2020-08-30,"aftern.",NA
2020-08-31,"morning",NA
2020-08-31,"aftern.",12
2020-09-01,"morning",13
2020-09-01,"aftern.",13
2020-09-02,"morning",12
2020-09-02,"aftern.",12
2020-09-03,"morning",14
2020-09-03,"aftern.",13
2020-09-04,"morning",13
2020-09-04,"aftern.",13
2020-09-05,"morning",12
2020-09-05,"aftern.",NA
2020-09-06,"morning",12
2020-09-06,"aftern.",NA
2020-09-07,"morning",13
2020-09-07,"aftern.",13
2020-09-08,"morning",12
2020-09-08,"aftern.",12
2020-09-09,"morning",13
2020-09-09,"aftern.",NA
2020-09-10,"morning",13
2020-09-10,"aftern.",12
2020-09-11,"morning",12
2020-09-11,"aftern.",NA
2020-09-12,"morning",9
2020-09-12,"aftern.",NA
2020-09-13,"morning",NA
2020-09-13,"aftern.",NA
2020-09-14,"morning",8
2020-09-14,"aftern.",NA
2020-09-15,"morning",NA
2020-09-15,"aftern.",12
2020-09-16,"morning",NA
2020-09-16,"aftern.",13
2020-09-17,"morning",11
2020-09-17,"aftern.",15
2020-09-18,"morning",NA
2020-09-18,"aftern.",NA
2020-09-19,"morning",16
2020-09-19,"aftern.",NA
2020-09-20,"morning",NA
2020-09-20,"aftern.",NA
2020-09-21,"morning",13
2020-09-21,"aftern.",13
2020-09-22,"morning",NA
2020-09-22,"aftern.",NA
2020-09-23,"morning",NA
2020-09-23,"aftern.",NA
2020-09-24,"morning",NA
2020-09-24,"aftern.",NA
2020-09-25,"morning",NA
2020-09-25,"aftern.",NA
2020-09-26,"morning",NA
2020-09-26,"aftern.",NA
2020-09-27,"morning",NA
2020-09-27,"aftern.",NA
2020-09-28,"morning",NA
2020-09-28,"aftern.",NA
2020-09-29,"morning",NA
2020-09-29,"aftern.",NA
2020-09-30,"morning",NA
2020-09-30,"aftern.",NA
2020-10-01,"morning",NA
2020-10-01,"aftern.",NA
2020-10-02,"morning",NA
2020-10-02,"aftern.",NA
2020-10-03,"morning",NA
2020-10-03,"aftern.",NA
2020-10-04,"morning",NA
2020-10-04,"aftern.",NA
2020-10-05,"morning",NA
2020-10-05,"aftern.",NA
2020-10-06,"morning",NA
2020-10-06,"aftern.",NA
2020-10-07,"morning",14
2020-10-07,"aftern.",17
2020-10-08,"morning",15
2020-10-08,"aftern.",NA
2020-10-09,"morning",12
2020-10-09,"aftern.",17
2020-10-10,"morning",13
2020-10-10,"aftern.",NA
2020-10-11,"morning",15
2020-10-11,"aftern.",NA
2020-10-12,"morning",NA
2020-10-12,"aftern.",NA
2020-10-13,"morning",15
2020-10-13,"aftern.",16
2020-10-14,"morning",16
2020-10-14,"aftern.",NA
2020-10-15,"morning",13
2020-10-15,"aftern.",14
2020-10-16,"morning",16
2020-10-16,"aftern.",18
2020-10-17,"morning",12
2020-10-17,"aftern.",NA
2020-10-18,"morning",13
2020-10-18,"aftern.",14
2020-10-19,"morning",NA
2020-10-19,"aftern.",NA
2020-10-20,"morning",14
2020-10-20,"aftern.",13
2020-10-21,"morning",14
2020-10-21,"aftern.",NA
2020-10-22,"morning",12
2020-10-22,"aftern.",10
2020-10-23,"morning",15
2020-10-23,"aftern.",NA
2020-10-24,"morning",15
2020-10-24,"aftern.",NA
2020-10-25,"morning",16
2020-10-25,"aftern.",NA
2020-10-26,"morning",12
2020-10-26,"aftern.",NA
2020-10-27,"morning",14
2020-10-27,"aftern.",NA
2020-10-28,"morning",15
2020-10-28,"aftern.",13
2020-10-29,"morning",13
2020-10-29,"aftern.",12
2020-10-30,"morning",12
2020-10-30,"aftern.",NA
2020-10-31,"morning",13
2020-10-31,"aftern.",13
2020-11-01,"morning",15
2020-11-01,"aftern.",NA
2020-11-02,"morning",NA
2020-11-02,"aftern.",NA
2020-11-03,"morning",13
2020-11-03,"aftern.",14
2020-11-04,"morning",13
2020-11-04,"aftern.",14
2020-11-05,"morning",14
2020-11-05,"aftern.",NA
2020-11-06,"morning",16
2020-11-06,"aftern.",NA
2020-11-07,"morning",12
2020-11-07,"aftern.",13
2020-11-08,"morning",14
2020-11-08,"aftern.",NA
2020-11-09,"morning",11
2020-11-09,"aftern.",NA
2020-11-10,"morning",12
2020-11-10,"aftern.",11
2020-11-11,"morning",14
2020-11-11,"aftern.",14
2020-11-12,"morning",15
2020-11-12,"aftern.",15
2020-11-13,"morning",NA
2020-11-13,"aftern.",NA
2020-11-14,"morning",15
2020-11-14,"aftern.",NA
2020-11-15,"morning",13
2020-11-15,"aftern.",13
2020-11-16,"morning",15
2020-11-16,"aftern.",14
2020-11-17,"morning",15
2020-11-17,"aftern.",15
2020-11-18,"morning",16
2020-11-18,"aftern.",NA
2020-11-19,"morning",15
2020-11-19,"aftern.",14
2020-11-20,"morning",15
2020-11-20,"aftern.",16
2020-11-21,"morning",14
2020-11-21,"aftern.",13
2020-11-22,"morning",12
2020-11-22,"aftern.",NA
2020-11-23,"morning",16
2020-11-23,"aftern.",NA
2020-11-24,"morning",14
2020-11-24,"aftern.",15
2020-11-25,"morning",16
2020-11-25,"aftern.",NA
2020-11-26,"morning",14
2020-11-26,"aftern.",15
2020-11-27,"morning",16
2020-11-27,"aftern.",NA
2020-11-28,"morning",14
2020-11-28,"aftern.",NA
2020-11-29,"morning",14
2020-11-29,"aftern.",NA
2020-11-30,"morning",15
2020-11-30,"aftern.",NA
2020-12-01,"morning",15
2020-12-01,"aftern.",16
2020-12-02,"morning",NA
2020-12-02,"aftern.",NA
2020-12-03,"morning",14
2020-12-03,"aftern.",NA
2020-12-04,"morning",15
2020-12-04,"aftern.",NA
2020-12-05,"morning",17
2020-12-05,"aftern.",NA
2020-12-06,"morning",16
2020-12-06,"aftern.",17
2020-12-07,"morning",16
2020-12-07,"aftern.",NA
2020-12-08,"morning",NA
2020-12-08,"aftern.",NA
2020-12-09,"morning",17
2020-12-09,"aftern.",17
2020-12-10,"morning",16
2020-12-10,"aftern.",NA
2020-12-11,"morning",17
2020-12-11,"aftern.",NA
2020-12-12,"morning",16
2020-12-12,"aftern.",17
2020-12-13,"morning",16
2020-12-13,"aftern.",16
2020-12-14,"morning",16
2020-12-14,"aftern.",17
2020-12-15,"morning",NA
2020-12-15,"aftern.",NA
2020-12-16,"morning",19
2020-12-16,"aftern.",17
2020-12-17,"morning",16
2020-12-17,"aftern.",15
2020-12-18,"morning",14
2020-12-18,"aftern.",NA
2020-12-19,"morning",17
2020-12-19,"aftern.",16
2020-12-20,"morning",17
2020-12-20,"aftern.",15
2020-12-21,"morning",15
2020-12-21,"aftern.",15
2020-12-22,"morning",14
2020-12-22,"aftern.",NA
2020-12-23,"morning",16
2020-12-23,"aftern.",15
2020-12-24,"morning",18
2020-12-24,"aftern.",16
2020-12-25,"morning",14
2020-12-25,"aftern.",NA
2020-12-26,"morning",13
2020-12-26,"aftern.",NA
2020-12-27,"morning",14
2020-12-27,"aftern.",NA
2020-12-28,"morning",NA
2020-12-28,"aftern.",NA
2020-12-29,"morning",15
2020-12-29,"aftern.",NA
2020-12-30,"morning",15
2020-12-30,"aftern.",NA
2020-12-31,"morning",12
2020-12-31,"aftern.",12
2021-01-01,"morning",13
2021-01-01,"aftern.",14
2021-01-02,"morning",15
2021-01-02,"aftern.",16
2021-01-03,"morning",NA
2021-01-03,"aftern.",NA
2021-01-04,"morning",16
2021-01-04,"aftern.",14
2021-01-05,"morning",14
2021-01-05,"aftern.",NA
2021-01-06,"morning",15
2021-01-06,"aftern.",14
2021-01-07,"morning",14
2021-01-07,"aftern.",15
2021-01-08,"morning",NA
2021-01-08,"aftern.",NA
2021-01-09,"morning",15
2021-01-09,"aftern.",NA
2021-01-10,"morning",17
2021-01-10,"aftern.",NA
2021-01-11,"morning",NA
2021-01-11,"aftern.",NA
2021-01-12,"morning",14
2021-01-12,"aftern.",NA
2021-01-13,"morning",15
2021-01-13,"aftern.",15
2021-01-14,"morning",15
2021-01-14,"aftern.",14
2021-01-15,"morning",15
2021-01-15,"aftern.",13
2021-01-16,"morning",15
2021-01-16,"aftern.",14
2021-01-17,"morning",16
2021-01-17,"aftern.",14
2021-01-18,"morning",16
2021-01-18,"aftern.",NA
2021-01-19,"morning",NA
2021-01-19,"aftern.",NA
2021-01-20,"morning",17
2021-01-20,"aftern.",14
2021-01-21,"morning",17
2021-01-21,"aftern.",17
2021-01-22,"morning",17
2021-01-22,"aftern.",17
2021-01-23,"morning",17
2021-01-23,"aftern.",14
2021-01-24,"morning",17
2021-01-24,"aftern.",18
2021-01-25,"morning",15
2021-01-25,"aftern.",15
2021-01-26,"morning",NA
2021-01-26,"aftern.",NA
2021-01-27,"morning",15
2021-01-27,"aftern.",16
2021-01-28,"morning",14
2021-01-28,"aftern.",NA
2021-01-29,"morning",13
2021-01-29,"aftern.",10
2021-01-30,"morning",16
2021-01-30,"aftern.",NA
2021-01-31,"morning",13
2021-01-31,"aftern.",12
2021-02-01,"morning",13
2021-02-01,"aftern.",13
2021-02-02,"morning",13
2021-02-02,"aftern.",NA
2021-02-03,"morning",16
2021-02-03,"aftern.",15
2021-02-04,"morning",17
2021-02-04,"aftern.",15
2021-02-05,"morning",16
2021-02-05,"aftern.",15
2021-02-06,"morning",16
2021-02-06,"aftern.",NA
2021-02-07,"morning",14
2021-02-07,"aftern.",14
2021-02-08,"morning",17
2021-02-08,"aftern.",NA
2021-02-09,"morning",16
2021-02-09,"aftern.",NA
2021-02-10,"morning",NA
2021-02-10,"aftern.",NA
2021-02-11,"morning",15
2021-02-11,"aftern.",14
2021-02-12,"morning",16
2021-02-12,"aftern.",15
2021-02-13,"morning",17
2021-02-13,"aftern.",NA
2021-02-14,"morning",14
2021-02-14,"aftern.",NA
2021-02-15,"morning",15
2021-02-15,"aftern.",15
2021-02-16,"morning",NA
2021-02-16,"aftern.",NA
2021-02-17,"morning",16
2021-02-17,"aftern.",14
2021-02-18,"morning",14
2021-02-18,"aftern.",13
2021-02-19,"morning",14
2021-02-19,"aftern.",15
2021-02-20,"morning",16
2021-02-20,"aftern.",15
2021-02-21,"morning",16
2021-02-21,"aftern.",16
2021-02-22,"morning",16
2021-02-22,"aftern.",15
2021-02-23,"morning",NA
2021-02-23,"aftern.",NA
2021-02-24,"morning",14
2021-02-24,"aftern.",15
2021-02-25,"morning",16
2021-02-25,"aftern.",16
2021-02-26,"morning",15
2021-02-26,"aftern.",15
2021-02-27,"morning",15
2021-02-27,"aftern.",16
2021-02-28,"morning",15
2021-02-28,"aftern.",15
2021-03-01,"morning",16
2021-03-01,"aftern.",NA
2021-03-02,"morning",NA
2021-03-02,"aftern.",NA
2021-03-03,"morning",15
2021-03-03,"aftern.",NA
2021-03-04,"morning",14
2021-03-04,"aftern.",13
2021-03-05,"morning",15
2021-03-05,"aftern.",14
2021-03-06,"morning",14
2021-03-06,"aftern.",13
2021-03-07,"morning",13
2021-03-07,"aftern.",NA
2021-03-08,"morning",14
2021-03-08,"aftern.",NA
2021-03-09,"morning",NA
2021-03-09,"aftern.",NA
2021-03-10,"morning",NA
2021-03-10,"aftern.",NA
2021-03-11,"morning",15
2021-03-11,"aftern.",14
2021-03-12,"morning",15
2021-03-12,"aftern.",16
2021-03-13,"morning",16
2021-03-13,"aftern.",14
2021-03-14,"morning",16
2021-03-14,"aftern.",NA
2021-03-15,"morning",14
2021-03-15,"aftern.",NA
2021-03-16,"morning",15
2021-03-16,"aftern.",NA
2021-03-17,"morning",17
2021-03-17,"aftern.",NA
2021-03-18,"morning",16
2021-03-18,"aftern.",NA
2021-03-19,"morning",15
2021-03-19,"aftern.",NA
2021-03-20,"morning",15
2021-03-20,"aftern.",NA
2021-03-21,"morning",14
2021-03-21,"aftern.",12
2021-03-22,"morning",13
2021-03-22,"aftern.",NA
2021-03-23,"morning",14
2021-03-23,"aftern.",NA
2021-03-24,"morning",15
2021-03-24,"aftern.",NA
2021-03-25,"morning",14
2021-03-25,"aftern.",12
2021-03-26,"morning",15
2021-03-26,"aftern.",14
2021-03-27,"morning",14
2021-03-27,"aftern.",NA
2021-03-28,"morning",NA
2021-03-28,"aftern.",NA
2021-03-29,"morning",14
2021-03-29,"aftern.",NA
2021-03-30,"morning",NA
2021-03-30,"aftern.",NA
2021-03-31,"morning",18
2021-03-31,"aftern.",17
2021-04-01,"morning",16
2021-04-01,"aftern.",15
2021-04-02,"morning",NA
2021-04-02,"aftern.",NA
2021-04-03,"morning",15
2021-04-03,"aftern.",NA
2021-04-04,"morning",12
2021-04-04,"aftern.",11
2021-04-05,"morning",14
2021-04-05,"aftern.",NA
2021-04-06,"morning",NA
2021-04-06,"aftern.",NA
2021-04-07,"morning",NA
2021-04-07,"aftern.",NA
2021-04-08,"morning",15
2021-04-08,"aftern.",13
2021-04-09,"morning",14
2021-04-09,"aftern.",NA
2021-04-10,"morning",14
2021-04-10,"aftern.",13
2021-04-11,"morning",14
2021-04-11,"aftern.",NA
2021-04-12,"morning",14
2021-04-12,"aftern.",NA
2021-04-13,"morning",NA
2021-04-13,"aftern.",NA
2021-04-14,"morning",15
2021-04-14,"aftern.",NA
2021-04-15,"morning",14
2021-04-15,"aftern.",12
2021-04-16,"morning",12
2021-04-16,"aftern.",13
2021-04-17,"morning",13
2021-04-17,"aftern.",NA
2021-04-18,"morning",13
2021-04-18,"aftern.",10
2021-04-19,"morning",13
2021-04-19,"aftern.",12
2021-04-20,"morning",NA
2021-04-20,"aftern.",NA
2021-04-21,"morning",14
2021-04-21,"aftern.",13
2021-04-22,"morning",12
2021-04-22,"aftern.",14
2021-04-23,"morning",NA
2021-04-23,"aftern.",NA
2021-04-24,"morning",14
2021-04-24,"aftern.",NA
2021-04-25,"morning",NA
2021-04-25,"aftern.",NA
2021-04-26,"morning",15
2021-04-26,"aftern.",NA
2021-04-27,"morning",14
2021-04-27,"aftern.",NA
2021-04-28,"morning",13
2021-04-28,"aftern.",9
2021-04-29,"morning",13
2021-04-29,"aftern.",12
2021-04-30,"morning",13
2021-04-30,"aftern.",12
2021-05-01,"morning",13
2021-05-01,"aftern.",12
2021-05-02,"morning",14
2021-05-02,"aftern.",NA
2021-05-03,"morning",NA
2021-05-03,"aftern.",NA
2021-05-04,"morning",NA
2021-05-04,"aftern.",NA
2021-05-05,"morning",12
2021-05-05,"aftern.",NA
2021-05-06,"morning",14
2021-05-06,"aftern.",12
2021-05-07,"morning",10
2021-05-07,"aftern.",NA
2021-05-08,"morning",11
2021-05-08,"aftern.",NA
2021-05-09,"morning",10
2021-05-09,"aftern.",8
2021-05-10,"morning",11
2021-05-10,"aftern.",NA
2021-05-11,"morning",NA
2021-05-11,"aftern.",NA
2021-05-12,"morning",12
2021-05-12,"aftern.",NA
2021-05-13,"morning",12
2021-05-13,"aftern.",11
2021-05-14,"morning",10
2021-05-14,"aftern.",10
2021-05-15,"morning",11
2021-05-15,"aftern.",10
2021-05-16,"morning",13
2021-05-16,"aftern.",NA
2021-05-17,"morning",11
2021-05-17,"aftern.",NA
2021-05-18,"morning",NA
2021-05-18,"aftern.",NA
2021-05-19,"morning",10
2021-05-19,"aftern.",NA
2021-05-20,"morning",11
2021-05-20,"aftern.",10
2021-05-21,"morning",13
2021-05-21,"aftern.",11
2021-05-22,"morning",11
2021-05-22,"aftern.",NA
2021-05-23,"morning",14
2021-05-23,"aftern.",12
2021-05-24,"morning",14
2021-05-24,"aftern.",NA
2021-05-25,"morning",NA
2021-05-25,"aftern.",NA
2021-05-26,"morning",11
2021-05-26,"aftern.",NA
2021-05-27,"morning",NA
2021-05-27,"aftern.",NA
2021-05-28,"morning",NA
2021-05-28,"aftern.",NA
2021-05-29,"morning",10
2021-05-29,"aftern.",NA
2021-05-30,"morning",10
2021-05-30,"aftern.",NA
2021-05-31,"morning",8
2021-05-31,"aftern.",NA
2021-06-01,"morning",NA
2021-06-01,"aftern.",NA
2021-06-02,"morning",11
2021-06-02,"aftern.",NA
2021-06-03,"morning",12
2021-06-03,"aftern.",NA
2021-06-04,"morning",NA
2021-06-04,"aftern.",NA
2021-06-05,"morning",10
2021-06-05,"aftern.",NA
2021-06-06,"morning",8
2021-06-06,"aftern.",NA
2021-06-07,"morning",NA
2021-06-07,"aftern.",NA
2021-06-08,"morning",NA
2021-06-08,"aftern.",NA
2021-06-09,"morning",8
2021-06-09,"aftern.",NA
2021-06-10,"morning",8
2021-06-10,"aftern.",NA
2021-06-11,"morning",7
2021-06-11,"aftern.",NA
2021-06-12,"morning",9
2021-06-12,"aftern.",NA
2021-06-13,"morning",6
2021-06-13,"aftern.",NA
2021-06-14,"morning",3
2021-06-14,"aftern.",NA
2021-06-15,"morning",NA
2021-06-15,"aftern.",NA
2021-06-16,"morning",8
2021-06-16,"aftern.",NA
2021-06-17,"morning",NA
2021-06-17,"aftern.",NA
2021-06-18,"morning",NA
2021-06-18,"aftern.",NA
2021-06-19,"morning",NA
2021-06-19,"aftern.",NA
2021-06-20,"morning",NA
2021-06-20,"aftern.",NA
2021-06-21,"morning",NA
2021-06-21,"aftern.",NA
2021-06-22,"morning",NA
2021-06-22,"aftern.",NA
2021-06-23,"morning",NA
2021-06-23,"aftern.",NA
2021-06-24,"morning",NA
2021-06-24,"aftern.",NA
2021-06-25,"morning",NA
2021-06-25,"aftern.",NA
2021-06-26,"morning",NA
2021-06-26,"aftern.",NA
2021-06-27,"morning",NA
2021-06-27,"aftern.",NA
2021-06-28,"morning",NA
2021-06-28,"aftern.",NA
2021-06-29,"morning",NA
2021-06-29,"aftern.",NA
2021-06-30,"morning",NA
2021-06-30,"aftern.",NA
2021-07-01,"morning",NA
2021-07-01,"aftern.",NA
2021-07-02,"morning",NA
2021-07-02,"aftern.",NA
2021-07-03,"morning",NA
2021-07-03,"aftern.",NA
